This list contains all games supported by FB Alpha.

8159 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| flagrall	|  	| '96 Flag Rally					| 		| 1996	| unknown	| Miscellaneous	| 					|
| 99lstwarb	|  	| '99: The Last War (bootleg)				| repulse	| 1985	| bootleg	| Kyugo		| Bad colors in some scenes		|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Crux / Kyugo	| Kyugo		| 					|
| 99lstwar	|  	| '99: The Last War (set 1)				| repulse	| 1985	| Crux / Proma	| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (set 2)				| repulse	| 1985	| Crux / Proma	| Kyugo		| 					|
| gtmro		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/10)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmrb		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/26)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| md_12in1	|  	| 12 in 1						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_13mahjan	|  	| 13 Ma Jiang - 98 Mei Shao Nu Pian (Chi)		| 		| 1998	| BBD		| Sega Megadrive| 					|
| md_16tongnk	|  	| 16 Ton (Jpn, Game no Kandume MegaCD Rip)		| md_16ton	| 1991	| Sega		| Sega Megadrive| 					|
| md_16ton	|  	| 16 Ton (Jpn, SegaNet)					| 		| 1991	| Sega		| Sega Megadrive| 					|
| md_16zhan	|  	| 16 Zhang Ma Jiang (Chi)				| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| cprogolf18	|  	| 18 Challenge Pro Golf (DECO Cassette) (Japan)		| cprogolf	| 1982	| Data East Corp| Cassette Syste| 					|
| progolf	|  	| 18 Holes Pro Golf (set 1)				| 		| 1981	| Data East Corp| Miscellaneous	| 					|
| progolfa	| D NW	| 18 Holes Pro Golf (set 2)				| progolf	| 1981	| Data East Corp| Miscellaneous	| 					|
| sgx_1941	|  	| 1941 - Counter Attack					| 		| 1991	| Hudson	| SuperGrafx	| 					|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1942c64	|  	| 1942 (C64 Music)					| 1942		| 2015	| hack by Minwah| Miscellaneous	| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| pce_1943kai	|  	| 1943 Kai						| 		| 1991	| Naxat		| PC Engine	| 					|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943bj	|  	| 1943: Midway Kaisen (bootleg)				| 1943		| 1987	| bootleg	| Miscellaneous	| 					|
